"All Data collected by Salmon, McMullen, & Filliter (2009)",,,,,Fam,Fam,Fam,Fam,Fam,Fam,Fam,Fam,Fam,Fam,Fam,Fam,AoA,AoA,AoA,AoA,AoA,AoA,AoA,AoA,AoA,AoA,AoA,AoA,Manip1,Manip1,Manip1,Manip1,Manip1,Manip1,Manip1,Manip1,Manip1,Manip1,Manip1,Manip1,Manip2,Manip2,Manip2,Manip2,Manip2,Manip2,Manip2,Manip2,Manip2,Manip2,Manip2,Manip2
,,,,,T1 (FMA),T1 (FMA),T1 (FMA),T2 (AFM),T2 (AFM),T2 (AFM),T3 (MAF),T3 (MAF),T3 (MAF),All T,All T,All T,T1 (AFM),T1 (AFM),T1 (AFM),T2 (MAF),T2 (MAF),T2 (MAF),T3 (FMA),T3 (FMA),T3 (FMA),All T,All T,All T,T1 (MAF),T1 (MAF),T1 (MAF),T2 (FMA),T2 (FMA),T2 (FMA),T3 (AFM),T3 (AFM),T3 (AFM),All T,All T,All T,T1 (MAF),T1 (MAF),T1 (MAF),T2 (FMA),T2 (FMA),T2 (FMA),T3 (AFM),T3 (AFM),T3 (AFM),All T,All T,All T
Item#,Name,Category,Group Membership1,Expected Group2,N,Mean,StdDev,N,Mean,StdDev,N,Mean,StdDev,N,Mean,StdDev,N,Mean,StdDev,N,Mean,StdDev,N,Mean,StdDev,N,Mean,StdDev,N,Mean,StdDev,N,Mean,StdDev,N,Mean,StdDev,N,Mean,StdDev,N,Mean,StdDev,N,Mean,StdDev,N,Mean,StdDev,N,Mean,StdDev
294,TOILET,household item,HYN,HYN,18,5,0,18,4.94,0.24,19,4.79,0.92,55,4.91,0.55,18,1.61,0.92,19,1.79,0.63,20,1.5,0.51,57,1.63,0.7,19,1.32,0.95,20,1.5,1.1,17,1.18,0.39,56,1.34,0.88,1,,,4,,,1,,,6,,
295,Toilet Paper,household item,HYM,HYM,18,4.56,1.15,18,4.94,0.24,19,5,0,55,4.84,0.69,18,2.17,1.29,19,2,0.67,19,1.95,0.78,56,2.04,0.93,19,4.79,0.42,20,4.8,0.52,18,5,0,57,4.86,0.4,19,3.42,1.22,20,3.2,1.32,18,3.06,1.16,57,3.23,1.23
296,Tomato,fruit & vegetable,HYM,HYM,18,4.17,0.92,18,3.17,1.25,19,3.79,1.51,55,3.71,1.3,18,2.44,1.04,19,2.32,0.75,20,2.35,0.75,57,2.37,0.84,19,4.89,0.46,20,4.6,0.82,18,4.94,0.24,57,4.81,0.58,19,1.84,1.12,19,1.95,1.08,18,1.61,0.92,56,1.8,1.03
297,Toothbrush,household item,HYM,HYM,18,4.94,0.24,18,5,0,19,5,0,55,4.98,0.13,18,2,1.08,19,1.74,0.81,20,1.85,1.35,57,1.86,1.09,19,5,0,20,4.95,0.22,18,5,0,57,4.98,0.13,19,2.89,1.56,20,2.5,1.57,18,2.17,1.29,57,2.53,1.49
298,Tractor,vehicle,LYN,LYN,18,1.67,0.91,18,1.28,0.46,19,1.37,0.76,55,1.44,0.74,18,2.5,1.1,19,2.84,1.34,20,3.1,1.12,57,2.82,1.2,19,1.21,0.54,20,1.3,0.8,18,1,0,57,1.18,0.57,0,,,2,,,0,,,2,,
299,train,vehicle,LON,HYN,18,2.11,1.18,18,1.5,0.79,19,1.53,0.84,55,1.71,0.98,17,2.94,1.98,19,2.32,0.75,20,2.35,1.23,56,2.52,1.39,19,1,0,20,1.25,0.91,18,1,0,57,1.09,0.54,0,,,1,,,0,,,1,,
300,Tree,nature,HYN,LYN,18,4.67,0.84,18,4.39,0.92,19,4.68,0.58,55,4.58,0.79,18,1.89,1.13,19,1.68,0.58,20,1.75,0.85,57,1.77,0.87,19,1,0,20,1.1,0.31,18,1.06,0.24,57,1.05,0.23,0,,,0,,,1,,,1,,
301,Truck,vehicle,HYN,HYN,18,3.72,1.36,18,3.44,1.34,19,3.58,1.39,55,3.58,1.34,18,1.94,0.87,19,2.16,1.12,20,2.3,0.86,57,2.14,0.95,19,1,0,20,1.2,0.89,17,1,0,56,1.07,0.53,0,,,1,,,0,,,1,,
302,Turtle,animal/insect,LYN,LON,18,1.5,0.92,18,1.39,0.61,18,1.28,0.57,54,1.39,0.71,18,2.22,0.73,19,2.21,0.85,20,2.5,1.05,57,2.32,0.89,19,2.63,1.26,20,2.7,1.42,18,3.17,1.04,57,2.82,1.26,8,,,14,,,14,2.29,1.2,36,,
303,Umbrella,clothing,HOM,HOM,18,2.83,1.04,18,2.83,1.25,19,2.84,0.9,55,2.84,1.05,18,2.72,1.02,19,2.79,0.79,20,2.55,1,57,2.68,0.93,19,4.63,0.6,20,4.55,0.76,18,4.72,0.46,57,4.63,0.62,19,2.58,1.22,19,2.95,1.47,18,2,1.03,56,2.52,1.29
304,Vase,household item,LOM,LOM,18,2.5,1.38,18,1.89,0.96,19,2,0.82,55,2.13,1.09,18,3.39,0.85,19,3.42,1.02,20,3.5,1.15,57,3.44,1,19,3.79,0.79,20,3.75,1.45,18,4,0.77,57,3.84,1.05,18,2,0.91,15,2,1.2,18,2.67,1.53,51,2.24,1.26
305,Vest,clothing,LOM,LOM,17,2.59,1.23,18,2.17,1.15,19,2.37,1.12,54,2.37,1.15,18,3,1.03,19,2.74,0.73,18,3.17,1.1,55,2.96,0.96,18,4.44,0.86,20,4.65,0.75,18,4.56,0.62,56,4.55,0.74,18,3.22,1.17,19,3.42,1.3,17,2.88,0.99,54,3.19,1.17
306,Violin,instrument,LOM,LOM,18,2.5,1.65,18,1.72,1.18,19,1.47,0.84,55,1.89,1.31,18,3.22,1.06,19,3.68,1.42,20,3.75,1.41,57,3.56,1.31,19,4.47,0.61,20,4.65,0.67,18,4.39,1.04,57,4.51,0.78,19,4.47,0.9,20,4.35,1.04,17,3.94,1.09,56,4.27,1.02
307,Wagon,toy,LYN,LYN,18,1.61,0.78,18,1.22,0.43,18,1.39,0.61,54,1.41,0.63,18,2.11,0.83,19,2.21,0.98,20,2.3,1.22,57,2.21,1.01,19,2.74,0.73,20,2.55,1.28,18,2.72,0.96,57,2.67,1.01,11,,,13,,,11,,,35,,
308,wall,miscellaneous,HON,HYN,17,4,1.22,18,4.17,0.86,19,3.84,1.34,54,4,1.15,18,3.33,1.94,19,2.42,1.22,20,3.1,1.25,57,2.95,1.52,19,1,0,20,1.05,0.22,17,1.06,0.24,56,1.04,0.19,0,,,0,,,0,,,0,,
309,Washing Machine,household item,HON,HON,18,3.83,1.1,18,3.44,1.2,19,3.58,0.96,55,3.62,1.08,18,3.22,1.11,19,3.26,0.93,20,3.4,0.82,57,3.3,0.94,19,1.37,1.01,20,1.55,1,18,1.11,0.32,57,1.35,0.86,3,,,4,,,0,,,7,,
310,Watch,clothing,HOM,HYM,18,4.33,1.24,18,4.56,0.98,19,3.84,1.34,55,4.24,1.22,18,3.06,1,19,2.74,0.93,19,2.68,1,56,2.82,0.97,19,4.74,0.56,20,4.7,0.57,18,5,0,57,4.81,0.48,19,3,1.33,19,3.47,1.26,18,2.89,1.32,56,3.13,1.31
311,water Fountain,miscellaneous,HON,HON,18,4.06,1.3,17,3.41,1.37,19,3.68,1.16,54,3.72,1.28,18,2.89,0.68,19,2.84,0.69,20,3.05,0.69,57,2.93,0.68,19,1.32,0.95,20,1.85,1.53,18,1.06,0.24,57,1.42,1.1,2,,,3,,,1,,,6,,
312,Well,miscellaneous,LON,LON,18,1.39,0.85,18,1,0,19,1,0,55,1.13,0.51,18,2.78,0.88,19,3.16,1.21,20,3.7,1.3,57,3.23,1.2,19,1.32,0.82,20,1.55,1.36,18,1.61,1.2,57,1.49,1.14,2,,,3,,,5,,,10,,
313,Wheels,miscellaneous,LON,LYN,18,2.44,1.58,18,2.33,1.5,19,2.53,1.58,55,2.44,1.52,18,2.72,1.07,19,2.74,0.87,20,2.7,1.26,57,2.72,1.06,19,3.32,1.11,20,3.2,1.54,18,3.61,0.92,57,3.37,1.22,15,2.53,1.19,13,2.69,1.38,17,3.18,1.33,45,2.82,1.3
314,Whistle,toy,LOM,LOM,18,2.28,1.27,18,1.67,1.08,19,2.26,1.48,55,2.07,1.3,18,2.94,1.16,19,2.74,0.87,20,2.75,0.79,57,2.81,0.93,19,4.95,0.23,20,4.9,0.31,18,5,0,57,4.95,0.23,19,2.47,1.26,20,2.55,1.36,18,2.28,1.45,57,2.44,1.34
315,Wickwire Field,campus location,HON,HON,18,4.78,0.43,18,3.89,1.23,19,4.32,1.29,55,4.33,1.11,18,3.22,1.4,19,3.84,1.8,20,4.6,2.16,57,3.91,1.88,19,1,0,20,1.4,1.23,18,1,0,57,1.14,0.74,0,,,2,,,2,,,4,,
316,Windmill,building,LON,LON,18,1.67,1.08,18,1.11,0.32,19,1.32,0.67,55,1.36,0.78,18,4,1.33,19,3.95,1.08,20,4.4,1.47,57,4.12,1.3,19,1.16,0.5,20,1.2,0.89,18,1.06,0.24,57,1.14,0.61,1,,,1,,,0,,,2,,
317,wreath,holiday,LOM,LYM,18,2.17,1.15,18,1.67,0.97,19,1.74,0.81,55,1.85,0.99,18,3.11,1.13,18,3.11,1.08,20,3.55,1.39,56,3.27,1.21,19,4.11,0.66,20,3.75,1.33,18,4.11,1.08,57,3.98,1.06,19,2.26,1.15,16,2.75,1.24,16,2.38,1.36,51,2.45,1.24
318,Wrench,tools,LOM,LOM,18,2.61,1.38,18,1.44,0.62,19,1.53,0.77,55,1.85,1.1,18,3.78,0.94,19,3.79,1.08,20,3.95,1.47,57,3.84,1.18,19,4.95,0.23,20,4.95,0.22,18,4.78,0.55,57,4.89,0.36,19,3.42,1.26,20,2.95,1.39,18,2.61,0.98,57,3,1.25
319,YARN,household item,LOM,LOM,18,1.78,0.94,18,1.89,1.08,19,1.63,0.9,55,1.76,0.96,18,2.83,1.04,19,3.16,1.07,20,3.15,1.23,57,3.05,1.11,19,4.79,0.42,20,4.95,0.22,18,4.78,0.43,57,4.84,0.37,19,3.84,1.12,20,3.7,1.63,18,3.67,1.19,57,3.74,1.32
320,Zebra,animal/insect,LYN,LON,18,1.44,0.98,18,1.11,0.32,19,1.11,0.32,55,1.22,0.63,18,2.39,0.61,19,2.74,0.65,20,2.6,1.14,57,2.58,0.84,19,1.26,0.93,20,1,0,18,1,0,57,1.09,0.54,2,,,0,,,0,,,2,,

LEGEND / Captions (for above),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Category,"Type of object shown. Note:These categories are by no means exclusive, and are meant just to provide a quick means to categorize what was shown.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Other systems of categorization would have been equally valid. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"""Group Membership""",Based on median split of time 1 points. Each letter represents category on each of 3 rating scales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Specifically, for (1) Familiarity is either (H)igh or (L)ow",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,(2) Age of Acquisition (AoA) is either (O)ld or (Y)oung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,(3) Manipulability is either (M)anipulable or (N)on-Manipulable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Expected Group,Prior predictions of to which groups object would belong. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,These predictions were partly based on ratings from other scales.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AoA,Age of Acquisition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fam,Familiarity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Manip1,First Manipulability rating (Grasp),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Manip2,"Second Manipulability rating (Fxn). Note: values for Mean,StdDev only if Manip1 >= 3.00",,,,,,,,,,,,,,
,T1,Time 1 (first time participants saw objects rating on this scale),,,,,,,,,,,,,,
,T2,Time 2 (second time participants saw objects while rating on this scale),,,,,,,,,,,,,,
,T3,Time 3 (when rating on this scale T3 participants were seeing objects for the third time),,,,,,,,,,,,,,
,All T,Averaged across all participants on that rating scale (regardless of time),,,,,,,,,,,,,,
,"FMA, AFM, MAF","Order in which participants in that group saw the objects (F)am, (A)oa, (M)an",,,,,,,,,,,,,,
,,"For example, participants in FMA, rated object first on Familiarity, then Manip, then AoA. ",,,,,,,,,,,,,,
,N,How many participants rated,,,,,,,,,,,,,,
,Mean,Mean/Average,,,,,,,,,,,,,,
,StdDev,Standard Deviation,,,,,,,,,,,,,,
,,,,,Fam,Fam,Fam,AoA,AoA,AoA,Manip1,Manip1,Manip1,Manip2,Manip2,Manip2
,PRACTICE ITEMS,,,,All T,All T,All T,All T,All T,All T,All T,All T,All T,All T,All T,All T
Item#,Name,Category,Group Membership,Expected Group,N,Mean,StdDev,N,Mean,StdDev,N,Mean,StdDev,N,Mean,StdDev
1,apple,fruit & vegetable,HY,HYM,48,4.44,0.74,48,1.63,0.53,48,4.94,0.32,47,1.11,0.6
2,ball,toy,LY,HYM,48,2.98,1.06,48,1.25,0.64,49,4.33,0.85,47,2.43,1.33
3,bed,household item,HY,HYN,48,4.96,0.29,48,1.33,0.52,50,1.32,1,7,,
4,calculator,office supply,HO,LOM,48,4.15,0.99,48,3.4,1.03,49,4.84,0.47,47,4.64,1.13
5,rhinoceros,animal/insect,LO,LON,48,1.38,0.76,47,3.02,0.9,50,1.16,0.79,5,,
6,spoon,tool,HY,HYM,48,4.85,0.62,48,1.69,0.95,49,5,0,47,2.21,1.61
7,submarine,vehicle,LO,LON,48,1.13,0.64,48,3.67,1.15,49,1.1,0.59,3,,
8,window**,household item,HY,HYM,24,4.88,0.45,25,2.08,1.08,24,1.88,0.99,7,,
"Note: Ratings for practice items should be interpreted with caution, as participants were told these were ""practice items""",,,,,,,,,,,,,,,,
Also: Some of the practice items were deleted leading a lower N for practice (N=48).,,,,,,,,,,,,,,,,
**Window was added to the practice set part-way through and therefore had a smaller N=24.,,,,,,,,,,,,,,,,
