"","word","qnLabel","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","Onset","Duration"
"283","95: waterige","5.1","2",NA,"2","2","1","2","2","1","2","2","2","2","2","2","2","2","74.69658023","0.706145908"
"284","96: ogen","5.1","2",NA,"2","2","1","2","2","1","2","2","2","2","2","2","2","2","75.40272613","0.46154934"
"285","97: en","5.1","2",NA,"2","2","1","2","2","1","2","2","2","2","2","2","2","2","75.86427547","0.160129363"
"286","98: vlasachtig","5.1","2",NA,"2","2","1","2","2","2","2","2","2","2","2","2","2","2","76.02440484","0.703500978"
"287","99: haar.","5.1","2",NA,"2","2","1","2","2","1","2","2","2","2","2","2","2","2","76.72790581","0.410902901"
"288","100: Ze","5.1","1",NA,"1","2","1","1","1","1","1","1","2","1","1","1","1","1","78.74754201","0.116564757"
"289","101: zat","5.1","1",NA,"1","2","1","1","1","1","1","1","2","1","1","1","1","1","78.86410676","0.223710139"
"290","102: bij","5.1","1",NA,"1","2","1","1","1","1","1","1","2","1","1","1","1","1","79.0878169","0.158951941"
"291","103: me","5.1","1",NA,"1","2","1","1","1","1","1","1","2","1","1","1","1","1","mismatch","mismatch"
"292","104: in","5.1","1",NA,"1","2","1","1","1","1","1","1","2","1","1","1","1","1","79.35038196","0.097726008"
"293","105: de","5.1","1",NA,"1","2","1","1","1","1","1","1","2","1","1","1","1","1","79.44810797","0.077709838"
"295","107: en","5.1","1",NA,"1","2","1","1","1","1","1","1","2","1","1","1","1","1","79.9037702","0.083596947"
"296","108: omdat","5.1","1",NA,"1","2","1","1","1","1","1","1","2","1","1","1","1","1","79.98736715","0.249613419"
"297","109: iedereen","5.1","1",NA,"1","2","1","1","1","1","1","1","2","1","1","1","1","1","80.23698057","0.385870105"
"298","110: vond","5.1","1",NA,"1","2","1","1","1","1","1","1","2","1","1","1","1","1","80.62285067","0.257855371"
"299","111: dat","5.1","1",NA,"1","2","1","1","1","1","1","1","2","2","1","1","1","1","80.88070604","0.171903581"
"300","112: ze","5.1","1",NA,"1","2","1","1","1","1","1","1","2","2","1","1","1","1","81.05260962","0.04591945"
"302","114: alleen","5.1","1",NA,"1","2","1","1","1","1","1","1","2","2","1","1","1","1","81.32812632","0.293297226"
"303","115: op","5.1","2",NA,"1","2","1","1","1","1","1","1","2","2","1","1","1","1","81.62142355","0.156597097"
"304","116: een","5.1","2",NA,"1","2","1","1","1","1","2","1","2","2","1","1","1","1","81.77802064","0.096548586"
"305","117: vis","5.1","2",NA,"1","2","1","1","1","1","2","1","2","2","1","1","1","1","81.87456923","0.268452167"
"306","118: leek","5.1","2",NA,"1","2","1","1","1","1","2","1","2","2","1","1","1","1","82.1430214","0.433291217"
"307","119: maar","5.1","2",NA,"1","2","1","1","1","1","1","1","2","2","1","1","1","1","82.9064","0.121274444"
"308","120: ook","5.1","2",NA,"1","2","1","1","1","1","1","1","2","2","1","1","1","1","83.02767445","0.150709989"
"309","121: naar","5.1","2",NA,"1","2","1","1","1","1","1","1","2","2","1","1","1","1","83.17838444","0.134226084"
"310","122: vis","5.1","2",NA,"1","2","1","1","1","1","1","1","2","2","1","1","1","1","83.31261052","0.261387636"
"312","124: wilde","5.1","1",NA,"1","2","1","1","1","1","1","1","2","1","1","1","1","1","84.3923063","0.248998866"
"313","125: niemand","5.1","1",NA,"1","2","1","1","1","1","1","1","2","1","1","1","1","1","84.64130516","0.522775273"
"314","126: met","5.1","1",NA,"1","2","1","1","1","1","1","1","2","1","1","1","1","1","85.16408044","0.151136354"
"377","1: 'Wat","7.1","1","1","1","1","1","1",NA,"1","1","1","1","1","1","1","1","2","87.29763668","0.110677648"
"378","2: kom","7.1","1","1","1","1","1","1",NA,"1","1","1","1","1","1","1","1","2","87.45070151","0.147177723"
"379","3: je","7.1","1","1","1","1","1","1",NA,"1","1","1","1","1","1","1","1","1","87.59787924","0.190742329"
"380","4: doen?'","7.1","1","1","1","1","1","1",NA,"1","1","1","1","1","1","1","1","2","87.78862157","0.282581229"
"383","7: Ze","7.1","1","1","1","1","1","1",NA,"1","1","2","1","2","1","1","1","1","89.8979127","0.082419525"
"384","8: legde","7.1","1","1","1","1","1","1",NA,"1","1","2","1","2","1","1","1","1","89.98033222","0.335565209"
"385","9: haar","7.1","1","1","1","1","1","1",NA,"1","1","1","1","1","1","1","1","1","90.31589743","0.194274595"
"386","10: handen","7.1","1","1","1","1","1","1",NA,"1","1","2","1","2","1","1","1","1","90.51017203","0.235484357"
"387","11: in","7.1","1","1","1","1","1","1",NA,"1","1","2","1","2","1","1","1","1","90.74565638","0.057693667"
"388","12: haar","7.1","1","1","1","1","1","1",NA,"1","1","2","1","2","1","1","1","1","90.80335005","0.143645458"
"389","13: schoot","7.1","1","1","1","1","1","1",NA,"1","1","2","1","2","1","1","1","1","90.94699551","0.403855672"
"390","14: en","7.1","1","1","1","1","1","1",NA,"1","1","2","1","2","1","1","1","1","91.35085118","0.181322955"
"391","15: keek","7.1","1","1","1","1","1","1",NA,"2","1","2","1","2","1","1","1","1","91.53217414","0.203966753"
"392","16: me","7.1","1","1","1","1","1","1",NA,"2","1","2","1","2","1","1","1","1","mismatch","mismatch"
"393","17: wantrouwig","7.1","1","1","1","1","1","1",NA,"2","1","2","1","2","1","1","1","1","91.92335095","0.520556709"
"394","18: aan.","7.1","1","1","1","1","1","1",NA,"2","1","2","1","2","1","1","1","1","92.44390766","0.293178025"
"395","19: Haar","7.1","2","1","2","2","1","1",NA,"2","2","2","2","2","2","1","2","1","mismatch","mismatch"
"396","20: mond","7.1","2","1","2","2","1","1",NA,"2","2","2","2","2","2","1","2","1","93.86191593","0.275516698"
"397","21: hing","7.1","2","1","2","2","1","1",NA,"2","2","2","2","2","2","1","2","1","94.13743263","0.167193894"
