,word,qnLabel,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,Onset,Duration,MN,SE
1840,148: man,24.1,1,1,1,1,1,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,58.56945681,0.238173246,1.148148148,0.069669625
1841,149: wil,24.1,1,1,1,1,1,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,58.80763005,0.103171821,1.148148148,0.069669625
1842,150: me,24.1,1,1,1,1,1,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,58.91080187,0.079025224,1.148148148,0.069669625
1843,151: eerst,24.1,1,1,1,1,1,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,58.9898271,0.198660634,1.148148148,0.069669625
1844,152: bang,24.1,1,1,1,1,1,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,59.18848773,0.273295568,1.148148148,0.069669625
1845,153: maken.,24.1,1,1,1,1,1,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,59.4617833,0.45878533,1.148148148,0.069669625
1846,154: Daarna,24.1,1,1,1,1,1,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,60.4855249,0.260124697,1.148148148,0.069669625
1847,155: wil,24.1,1,1,1,1,1,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,60.7456496,0.116342691,1.148148148,0.069669625
1848,156: hij,24.1,1,1,1,1,1,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,60.86199229,0.113049974,1.148148148,0.069669625
1849,157: de,24.1,1,1,1,1,1,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,60.97504226,0.084513087,1.148148148,0.069669625
1850,158: deur,24.1,1,1,1,1,1,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,61.05955535,0.30841789,1.148148148,0.069669625
1851,159: openbreken.,24.1,1,1,1,1,1,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,61.36797324,0.650860529,1.148148148,0.069669625
1852,160: Maar,24.1,1,1,1,1,1,1,1,1,2,1,2,2,1,1,1,2,1,1,1,2,2,1,1,1,1,1,1,62.01883377,0.128861422,1.222222222,0.081533265
1853,161: dit,24.1,1,1,1,1,1,1,1,1,2,1,2,2,1,1,1,2,1,1,1,2,2,1,1,1,1,1,1,62.14769519,0.204148496,1.222222222,0.081533265
1854,162: is,24.1,1,1,1,1,1,1,1,1,2,1,2,2,1,1,1,2,1,1,1,2,2,1,1,1,1,1,1,62.35184369,0.148172296,1.222222222,0.081533265
1855,163: mijn,24.1,1,1,1,1,1,1,1,1,2,1,2,2,1,1,1,2,1,1,1,2,2,1,1,1,1,1,1,62.50001598,0.319393615,1.222222222,0.081533265
1856,164: flat.,24.1,1,1,1,1,1,1,1,1,2,1,2,2,1,1,1,2,1,1,1,2,2,1,1,1,1,1,1,62.8194096,0.365491663,1.222222222,0.081533265
1857,165: Ik,24.1,1,1,1,1,1,1,1,1,2,1,2,2,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,63.18490126,0.121830554,1.185185185,0.076180866
1858,166: laat,24.1,1,1,1,1,1,1,1,1,2,1,2,2,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,63.30673181,0.207060498,1.185185185,0.076180866
1859,167: er,24.1,1,1,1,1,1,1,1,1,2,1,2,2,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,63.51379231,0.034024749,1.185185185,0.076180866
1860,168: niemand,24.1,1,1,1,1,1,1,1,1,2,1,2,2,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,63.54781706,0.318296043,1.185185185,0.076180866
1861,169: in.,24.1,1,1,1,1,1,1,1,1,2,1,2,2,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,63.8661131,0.300734882,1.185185185,0.076180866
1862,170: Telkens,24.1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,65.25141226,0.358906227,1.111111111,0.061633355
1863,171: wanneer,24.1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,65.61031849,0.215124222,1.111111111,0.061633355
1864,172: de,24.1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,65.82544271,0.05158591,1.111111111,0.061633355
1865,173: man,24.1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,65.87702862,0.169026174,1.111111111,0.061633355
1866,174: me,24.1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,66.04605479,0.124025699,1.111111111,0.061633355
1867,175: in,24.1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,66.17008049,0.122928127,1.111111111,0.061633355
1868,176: de,24.1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,66.29300862,0.050488338,1.111111111,0.061633355
1869,177: woonkamer,24.1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,66.34349696,0.47844377,1.111111111,0.061633355
1870,178: hoort,24.1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,66.82194073,0.39841884,1.111111111,0.061633355
