"","word","qnLabel","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","Onset","Duration","MN"
"212","24: hij","5.1",1,NA,1,1,1,2,1,1,2,2,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,"50.03007132","0.158050449",1.19230769230769
"213","25: de","5.1",1,NA,1,1,1,2,1,1,2,2,1,1,2,2,1,1,1,1,1,1,2,1,1,1,1,1,1,"50.18812177","0.075536774",1.23076923076923
"215","27: tussen","5.1",1,NA,1,1,1,2,1,1,2,2,1,1,2,2,1,1,1,1,1,1,2,1,1,1,1,1,1,"51.02427633","0.266710132",1.23076923076923
"216","28: winkel","5.1",1,NA,1,1,1,2,1,1,2,2,1,1,2,2,1,1,1,1,1,1,2,1,1,1,1,1,1,"51.29098646","0.295247019",1.23076923076923
"217","29: en","5.1",1,NA,1,1,1,2,1,1,2,2,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,"51.58623348","0.134718576",1.19230769230769
"218","30: huiskamer","5.1",1,NA,1,1,1,2,1,1,2,2,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,"51.72095205","0.606957626",1.19230769230769
"219","31: een","5.1",1,NA,1,1,1,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,"52.32790968","0.080122797",1.15384615384615
"220","32: eindje","5.1",1,NA,1,1,1,2,1,1,2,2,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,"52.40803248","0.337313092",1.19230769230769
"221","33: open","5.1",1,NA,1,1,1,2,1,1,2,2,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,"52.77498003","0.376467388",1.19230769230769
"222","34: en","5.1",1,NA,1,1,1,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"53.615253","0.086708232",1.11538461538462
"223","35: zei","5.1",1,NA,1,1,1,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"53.70196123","0.200855779",1.11538461538462
"224","36: dat","5.1",1,NA,1,1,1,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"53.90281701","0.110854829",1.11538461538462
"225","37: ik","5.1",1,NA,1,1,1,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"54.01367184","0.096586385",1.11538461538462
"226","38: maar","5.1",1,NA,1,1,1,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"54.11025823","0.108659684",1.11538461538462
"227","39: door","5.1",1,NA,1,1,1,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"54.21891791","0.20185526",1.11538461538462
"228","40: moest","5.1",1,NA,1,1,1,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"54.42077317","0.232685383",1.11538461538462
"229","41: lopen","5.1",1,NA,1,1,1,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"54.65345855","0.389638259",1.11538461538462
"230","42: want","5.1",1,NA,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"55.43948331","0.122928127",1.07692307692308
