"","word","qnLabel","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","Onset","Duration","MN"
"238","50: is","5.1",3,6,3,5,4,5,1,1,2,1,2,3,4,3,1,3,4,3,5,6,5,2,2,2,2,7,3,"58.64339073","0.137758349",3.25925925925926
"239","51: thuis'.","5.1",3,6,3,5,4,5,1,1,2,1,2,3,4,3,1,5,4,3,5,6,5,2,2,2,2,7,3,"mismatch","mismatch",3.33333333333333
"240","52: Hij","5.1",2,1,3,4,5,5,3,1,1,1,4,3,3,1,1,3,5,2,5,5,1,6,1,2,3,7,5,"59.93747962","0.129516396",3.07407407407407
"241","53: gaf","5.1",2,1,3,4,5,5,3,1,1,1,4,3,3,1,1,2,5,2,5,5,1,6,1,2,3,7,5,"60.06699602","0.240194044",3.03703703703704
"244","56: zetje","5.1",2,1,3,4,5,5,3,1,1,1,4,3,3,3,1,2,5,2,5,5,5,6,3,3,3,7,5,"60.54738411","0.322613569",3.37037037037037
"246","58: mijn","5.1",2,1,3,4,5,5,3,1,1,1,4,3,3,2,1,4,5,2,5,5,2,6,1,3,3,7,5,"mismatch","mismatch",3.22222222222222
"247","59: schouder","5.1",2,1,3,4,5,5,3,1,1,1,4,3,3,2,1,4,5,2,5,5,2,6,1,3,3,7,5,"61.28445014","0.524976535",3.22222222222222
"248","60: en","5.1",2,1,3,4,5,5,3,1,1,1,4,3,3,2,1,3,5,2,5,5,2,6,1,3,3,7,5,"62.10168321","0.125984131",3.18518518518519
"249","61: deed","5.1",2,1,3,4,5,5,3,1,1,1,4,3,3,3,1,3,5,2,5,5,2,6,1,3,3,7,5,"62.22766734","0.300242555",3.22222222222222
"250","62: de","5.1",2,1,3,4,5,5,3,1,1,1,4,3,3,3,1,3,5,2,5,5,5,6,1,3,3,7,5,"62.5279099","0.051806559",3.33333333333333
"251","63: deur","5.1",2,1,3,4,5,5,3,1,1,1,4,3,3,3,1,3,5,2,5,5,5,6,1,3,3,7,5,"62.57971646","0.207226234",3.33333333333333
"252","64: achter","5.1",2,1,3,4,5,5,3,1,1,1,4,3,3,3,1,3,5,2,5,5,5,6,1,3,3,7,5,"62.78694269","0.242548888",3.33333333333333
"253","65: me","5.1",2,1,3,4,5,5,3,1,1,1,4,3,3,3,1,3,5,2,5,5,5,6,1,3,3,7,5,"mismatch","mismatch",3.33333333333333
