"","X","word","qnLabel","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","Onset","Duration","MN","SE","marker_event","onset_event","duration_event","MN_event","SE_event"
"101",107,"107: te",3.1,2,2,1,2,4,2,1,1,3,3,2,3,2,3,1,2,3,4,5,5,3,2,1,2,2,6,2,42.52517025,0.049451715,2.555555556,0.252245377,,,,,
"102",108,"108: wachten.",3.1,2,2,1,2,4,2,1,1,3,3,2,3,2,3,1,1,3,4,5,5,3,2,1,2,2,6,2,42.57462197,0.396483753,2.518518519,0.258035369,1,40.16153894,2.667687458,2.67460317492857,
"103",189,"1: Maar",5.1,2,4,2,3,2,2,1,1,3,6,3,3,3,1,1,2,4,2,5,4,1,2,1,2,2,7,3,44.2788627,0.310395684,2.666666667,0.297185276,,,,,
"104",190,"2: op",5.1,2,4,2,3,2,2,1,1,3,6,3,3,3,1,1,2,4,2,5,4,1,2,1,2,2,7,3,44.58925839,0.048717961,2.666666667,0.297185276,,,,,
"105",191,"3: een",5.1,2,4,2,3,2,2,1,1,3,6,3,3,3,1,1,2,4,2,5,4,1,2,1,2,2,7,3,44.63797635,0.090661477,2.666666667,0.297185276,,,,,
"106",192,"4: dag",5.1,2,4,2,3,2,2,1,1,3,6,3,3,3,1,1,4,4,2,5,4,1,2,1,2,2,7,3,44.72863782,0.259032793,2.740740741,0.30001231,,,,,
"107",193,"5: kon",5.1,2,4,2,3,2,2,1,1,3,6,3,3,3,1,1,3,4,2,5,4,1,2,1,2,2,7,3,44.98767062,0.149532567,2.703703704,0.296296296,,,,,
"108",195,"7: er",5.1,2,4,2,3,2,2,1,1,3,6,3,3,3,1,1,3,4,2,5,4,1,2,1,2,2,7,4,45.25259052,0.104790539,2.740740741,0.30001231,,,,,
"109",196,"8: niet",5.1,2,4,2,3,2,2,1,1,3,6,3,3,3,1,1,3,4,2,5,4,4,2,1,2,2,7,4,45.35738106,0.224887561,2.851851852,0.295761626,,,,,
"110",197,"9: onderuit.",5.1,2,4,2,3,2,2,1,1,3,6,3,3,3,2,1,1,4,2,5,4,4,2,2,2,2,7,4,45.58226862,0.47450098,2.851851852,0.290905374,1,44.2788627,1.662519562,2.736111111375,
