"","word","qnLabel","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","Onset","Duration"
"266","78: haar","5.1","1",NA,"2","2","1","1","2","1","2","1","1","2","1","68.75087333","0.134226084"
"267","79: handen","5.1","1",NA,"2","2","1","1","2","1","2","1","1","2","1","68.88509942","0.221355296"
"268","80: te","5.1","1",NA,"2","2","1","1","2","1","2","1","1","2","1","69.10645471","0.146000301"
"269","81: kijken","5.1","1",NA,"2","2","1","1","2","1","2","1","1","2","1","69.25245501","0.388549189"
"270","82: die","5.1","1",NA,"2","2","1","2","2","1","2","1","1","2","1","69.6410042","0.097726008"
"271","83: voor","5.1","1",NA,"2","2","1","2","2","1","2","1","1","2","1","69.73873021","0.246081153"
"272","84: haar","5.1","1",NA,"2","2","1","2","2","1","2","1","1","2","1","69.98481136","0.15188741"
"273","85: op","5.1","2",NA,"2","2","1","2","2","1","2","1","1","2","1","70.13669877","0.116684184"
"274","86: het","5.1","2",NA,"2","2","1","2","2","1","2","1","1","2","2","70.25338296","0.090661477"
"275","87: pluche","5.1","2",NA,"2","2","2","2","2","2","2","2","2","2","2","70.43470591","0.329814604"
"276","88: tafelkleed","5.1","1",NA,"2","2","1","2","2","2","2","2","2","2","2","70.81868192","0.585178627"
"277","89: lagen;","5.1","1",NA,"2","2","1","2","2","1","2","2","2","2","1","71.40386055","0.455662231"
"278","90: een","5.1","1",NA,"2","2","1","2","2","1","2","2","2","2","2","72.87661039","0.162484206"
"279","91: bleek","5.1","2",NA,"2","2","1","2","2","1","2","2","2","2","2","73.03909459","0.343807161"
"280","92: kind","5.1","2",NA,"2","2","1","2","2","1","2","2","2","2","2","73.38290175","0.324968413"
"281","93: met","5.1","2",NA,"2","2","1","2","2","1","2","2","2","2","2","73.70787017","0.168371315"
"282","94: lichte","5.1","2",NA,"2","2","1","2","2","1","2","2","2","2","2","73.87624148","0.523952695"
"283","95: waterige","5.1","2",NA,"2","2","1","2","2","1","2","2","2","2","2","74.69658023","0.706145908"
"284","96: ogen","5.1","2",NA,"2","2","1","2","2","1","2","2","2","2","2","75.40272613","0.46154934"
"285","97: en","5.1","2",NA,"2","2","1","2","2","1","2","2","2","2","2","75.86427547","0.160129363"
"286","98: vlasachtig","5.1","2",NA,"2","2","1","2","2","2","2","2","2","2","2","76.02440484","0.703500978"
"287","99: haar.","5.1","2",NA,"2","2","1","2","2","1","2","2","2","2","2","76.72790581","0.410902901"
"288","100: Ze","5.1","1",NA,"1","2","1","1","1","1","1","1","2","1","1","78.74754201","0.116564757"
"289","101: zat","5.1","1",NA,"1","2","1","1","1","1","1","1","2","1","1","78.86410676","0.223710139"
"290","102: bij","5.1","1",NA,"1","2","1","1","1","1","1","1","2","1","1","79.0878169","0.158951941"
"292","104: in","5.1","1",NA,"1","2","1","1","1","1","1","1","2","1","1","79.35038196","0.097726008"
"293","105: de","5.1","1",NA,"1","2","1","1","1","1","1","1","2","1","1","79.44810797","0.077709838"
"294","106: klas","5.1","1",NA,"1","2","1","1","1","1","1","1","2","1","1","79.59175343","0.312016773"
"295","107: en","5.1","1",NA,"1","2","1","1","1","1","1","1","2","1","1","79.9037702","0.083596947"
"296","108: omdat","5.1","1",NA,"1","2","1","1","1","1","1","1","2","1","1","79.98736715","0.249613419"
"297","109: iedereen","5.1","1",NA,"1","2","1","1","1","1","1","1","2","1","1","80.23698057","0.385870105"
"298","110: vond","5.1","1",NA,"1","2","1","1","1","1","1","1","2","1","1","80.62285067","0.257855371"
"299","111: dat","5.1","1",NA,"1","2","1","1","1","1","1","1","2","2","1","80.88070604","0.171903581"
"300","112: ze","5.1","1",NA,"1","2","1","1","1","1","1","1","2","2","1","81.05260962","0.04591945"
"301","113: niet","5.1","1",NA,"1","2","1","1","1","1","1","1","2","2","1","81.09852907","0.229597248"
"302","114: alleen","5.1","1",NA,"1","2","1","1","1","1","1","1","2","2","1","81.32812632","0.293297226"
"303","115: op","5.1","2",NA,"1","2","1","1","1","1","1","1","2","2","1","81.62142355","0.156597097"
"304","116: een","5.1","2",NA,"1","2","1","1","1","1","2","1","2","2","1","81.77802064","0.096548586"
"305","117: vis","5.1","2",NA,"1","2","1","1","1","1","2","1","2","2","1","81.87456923","0.268452167"
"306","118: leek","5.1","2",NA,"1","2","1","1","1","1","2","1","2","2","1","82.1430214","0.433291217"
"307","119: maar","5.1","2",NA,"1","2","1","1","1","1","1","1","2","2","1","82.9064","0.121274444"
"308","120: ook","5.1","2",NA,"1","2","1","1","1","1","1","1","2","2","1","83.02767445","0.150709989"
"309","121: naar","5.1","2",NA,"1","2","1","1","1","1","1","1","2","2","1","83.17838444","0.134226084"
"310","122: vis","5.1","2",NA,"1","2","1","1","1","1","1","1","2","2","1","83.31261052","0.261387636"
"311","123: stonk","5.1","2",NA,"1","2","1","1","1","1","1","1","2","2","1","83.57399816","0.456839653"
"312","124: wilde","5.1","1",NA,"1","2","1","1","1","1","1","1","2","1","1","84.3923063","0.248998866"
"313","125: niemand","5.1","1",NA,"1","2","1","1","1","1","1","1","2","1","1","84.64130516","0.522775273"
"314","126: met","5.1","1",NA,"1","2","1","1","1","1","1","1","2","1","1","85.16408044","0.151136354"
"315","127: haar","5.1","1",NA,"1","2","1","1","1","1","1","1","2","1","1","85.31521679","0.074177572"
"316","128: spelen.","5.1","1",NA,"1","2","1","1","1","1","1","1","2","1","1","85.38939436","0.525130116"
"377","1: 'Wat","7.1","1","1","1","1","1","1",NA,"1","1","1","1","1","1","87.29763668","0.110677648"
"378","2: kom","7.1","1","1","1","1","1","1",NA,"1","1","1","1","1","1","87.45070151","0.147177723"
"379","3: je","7.1","1","1","1","1","1","1",NA,"1","1","1","1","1","1","87.59787924","0.190742329"
"380","4: doen?'","7.1","1","1","1","1","1","1",NA,"1","1","1","1","1","1","87.78862157","0.282581229"
"381","5: vroeg","7.1","1","1","1","1","1","1",NA,"1","1","1","1","1","1","88.63754267","0.254323106"
"383","7: Ze","7.1","1","1","1","1","1","1",NA,"1","1","2","1","2","1","89.8979127","0.082419525"
"384","8: legde","7.1","1","1","1","1","1","1",NA,"1","1","2","1","2","1","89.98033222","0.335565209"
"385","9: haar","7.1","1","1","1","1","1","1",NA,"1","1","1","1","1","1","90.31589743","0.194274595"
